writer, episode_code,gender
Mike Reiss,7G06,m
Mike Reiss,7G07,m
Mike Reiss,7F12,m
Mike Reiss,7F24,m
Mike Reiss,8F02,m
Mike Reiss,8F06,m
Mike Reiss,9F04,m
Mike Reiss,2F32,m
Mike Reiss,3G03,m
Mert Rich,DABF21,m
David Richardson,1F14,m
Jace Richdale,1F16,m
Brian K. Roberts,7F18,m
Seth Rogen,LABF13,m
David Sacks,2F08,m
Nell Scovell,7F11,m
Brian Scully,5F17,m
Brian Scully,AABF08,m
Brian Scully,AABF12,m
Mike Scully,1F17,m
Mike Scully,2F05,m
Mike Scully,2F18,m
Mike Scully,3F07,m
Mike Scully,3F10,m
Mike Scully,4F01,m
Mike Scully,5F02,m
Mike Scully,AABF08,m
Mike Scully,AABF23,m
Mike Scully,BABF19,m
Mike Scully,CABF22,m
Mike Scully,DABF22,m
Matt Selman,5F18,m
Matt Selman,AABF14,m
Matt Selman,AABF18,m
Matt Selman,BABF03,m
Matt Selman,BABF19,m
Matt Selman,CABF01,m
Matt Selman,CABF14,m
Matt Selman,CABF17,m
Matt Selman,DABF05,m
Matt Selman,EABF03,m
Matt Selman,FABF20,m
Matt Selman,GABF03,m
Matt Selman,GABF12,m
Matt Selman,HABF12,m
Matt Selman,JABF02,m
Matt Selman,JABF17,m
Matt Selman,KABF04,m
Matt Selman,LABF15,m
Matt Selman,MABF01,m
Matt Selman,NABF04,m
Matt Selman,NABF20,m
Matt Selman,PABF20,m
Matt Selman,RABF06,m
Matt Selman,RABF09,m
Matt Selman,SABF22,m
Matt Selman,TABF02,m
Sam Simon,7G07,m
Sam Simon,7G13,m
Sam Simon,7G01,m
Sam Simon,7F01,m
Sam Simon,7F04,m
Sam Simon,7F12,m
Sam Simon,8F02,m
Sam Simon,8F04,m
Sam Simon,9F04,m
Dennis Snee,EABF02,m
Robin J. Stein,FABF05,m
David H. Steinberg,SABF15,m
David M. Stern,7F03,m
David M. Stern,7F15,m
David M. Stern,8F14,m
David M. Stern,8F24,m
David M. Stern,9F11,m
David M. Stern,9F14,m
David M. Stern,AABF06,m
David M. Stern,AABF10,m
Joshua Sternin,2F32,m
Joshua Sternin,3G04,m
John Swartzwelder,7G05,m
John Swartzwelder,7G09,m
John Swartzwelder,7G11,m
John Swartzwelder,7G13,m
John Swartzwelder,7F04,m
John Swartzwelder,7F01,m
John Swartzwelder,7F09,m
John Swartzwelder,7F10,m
John Swartzwelder,7F20,m
John Swartzwelder,8F03,m
John Swartzwelder,8F02,m
John Swartzwelder,8F13,m
John Swartzwelder,8F17,m
John Swartzwelder,8F23,m
John Swartzwelder,9F03,m
John Swartzwelder,9F18,m
John Swartzwelder,9F19,m
John Swartzwelder,1F01,m
John Swartzwelder,1F09,m
John Swartzwelder,1F11,m
John Swartzwelder,1F15,m
John Swartzwelder,1F19,m
John Swartzwelder,2F01,m
John Swartzwelder,2F09,m
John Swartzwelder,2F11,m
John Swartzwelder,2F12,m
John Swartzwelder,2F17,m
John Swartzwelder,3F04,m
John Swartzwelder,3F12,m
John Swartzwelder,3F14,m
John Swartzwelder,3F16,m
John Swartzwelder,3F23,m
John Swartzwelder,4F10,m
John Swartzwelder,4F15,m
John Swartzwelder,4F17,m
John Swartzwelder,4F19,m
John Swartzwelder,5F01,m
John Swartzwelder,5F08,m
John Swartzwelder,5F16,m
John Swartzwelder,5F21,m
John Swartzwelder,AABF04,m
John Swartzwelder,AABF09,m
John Swartzwelder,AABF13,m
John Swartzwelder,AABF17,m
John Swartzwelder,BABF05,m
John Swartzwelder,BABF08,m
John Swartzwelder,BABF16,m
John Swartzwelder,BABF20,m
John Swartzwelder,CABF02,m
John Swartzwelder,CABF09,m
John Swartzwelder,CABF13,m
John Swartzwelder,CABF18,m
John Swartzwelder,DABF07,m
John Swartzwelder,DABF13,m
John Swartzwelder,DABF14,m
John Swartzwelder,DABF16,m
John Swartzwelder,EABF09,m
John Swartzwelder,EABF21,m
John Swartzwelder,EABF22,m
Lawrence Talbot,GABF06,m
Julie Thacker,AABF16,f
Julie Thacker,BABF15,f
Julie Thacker,CABF15,f
Steve Tompkins,3F04,m
Steve Tompkins,3F18,m
Steve Tompkins,4F04,m
Steve Tompkins,4F20,m
Eric Towner,RABF12,m
Dan Vebber,NABF22,m
Jeffrey Ventimilia,2F32,m
Jeffrey Ventimilia,3G04,m
Patric Verrone,GABF19,m
Steve Viksten,NABF13,m
Jon Vitti,7G02,m
Jon Vitti,7G10,m
Jon Vitti,7G13,m
Jon Vitti,7F02,m
Jon Vitti,7F14,m
Jon Vitti,7F19,m
Jon Vitti,7F23,m
Jon Vitti,8F09,m
Jon Vitti,8F11,m
Jon Vitti,8F16,m
Jon Vitti,8F20,m
Jon Vitti,9F04,m
Jon Vitti,9F07,m
Jon Vitti,9F12,m
Jon Vitti,9F17,m
Jon Vitti,9F22,m
Jon Vitti,3F01,m
Jon Vitti,DABF09,m
Jon Vitti,DABF11,m
Jon Vitti,DABF15,m
Jon Vitti,FABF03,m
Jon Vitti,FABF15,m
Jon Vitti,FABF19,m
Matt Warburton,DABF08,m
Matt Warburton,EABF12,m
Matt Warburton,FABF10,m
Matt Warburton,GABF09,m
Matt Warburton,HABF19,m
Matt Warburton,HABF20,m
Matt Warburton,JABF07,m
Matt Warburton,KABF16,m
Matt Warburton,MABF14,m
Matt Warburton,NABF11,m
Matt Warburton,PABF12,m
Josh Weinstein,9F05,m
Josh Weinstein,9F20,m
Josh Weinstein,1F04,m
Josh Weinstein,1F08,m
Josh Weinstein,1F12,m
Josh Weinstein,1F18,m
Josh Weinstein,1F21,m
Josh Weinstein,2F02,m
Josh Weinstein,2F07,m
Josh Weinstein,2F13,m
Josh Weinstein,2F16,m
Josh Weinstein,2F20,m
Josh Weinstein,3F18,m
Jeff Westbrook,GABF05,m
Jeff Westbrook,HABF11,m
Jeff Westbrook,JABF01,m
Jeff Westbrook,KABF10,m
Jeff Westbrook,LABF03,m
Jeff Westbrook,LABF18,m
Jeff Westbrook,NABF15,m
Jeff Westbrook,PABF01,m
Jeff Westbrook,RABF16,m
Jeff Westbrook,SABF07,m
Jeff Westbrook,SABF17,m
Marc Wilmore,DABF19,m
Marc Wilmore,EABF16,m
Marc Wilmore,FABF16,m
Marc Wilmore,GABF17,m
Marc Wilmore,HABF13,m
Marc Wilmore,JABF16,m
Marc Wilmore,KABF20,m
Marc Wilmore,LABF07,m
Marc Wilmore,PABF09,m
Marc Wilmore,PABF13,m
Marc Wilmore,RABF18,m
Penny Wise,2F33,m
Penny Wise,3F31,m
Wallace Wolodarsky,7G03,m
Wallace Wolodarsky,7G12,m
Wallace Wolodarsky,7F04,m
Wallace Wolodarsky,7F06,m
Wallace Wolodarsky,7F17,m
Wallace Wolodarsky,8F05,m
Wallace Wolodarsky,8F12,m
Wallace Wolodarsky,8F22,m
Wallace Wolodarsky,9F04,m
Wallace Wolodarsky,SABF07,m
William Wright,KABF07,m
William Wright,MABF09,m
Steve Young,4F07,m
